Tratamentos,REP, S,  N,H
MATA 60%,R1,12,18,2.322
MATA 60%,R2,16,19,2.726
MATA 60%,R3,18,22,2.815
MATA 60%,R4,15,20,2.524
MATA 60%,R5,22,36,2.737
MATA 60%,R6,24,31,3.023
MATA 60%,R7,26,38,3.017
MATA 60%,R8,15,28,2.404
MATA 60%,R9,17,24,2.716
MATA 60%,R10,20,33,2.819
MATA 20%,R1,15,37,1.962
MATA 20%,R2,29,196,1.353
MATA 20%,R3,30,128,2.025
MATA 20%,R4,37,105,2.659
MATA 20%,R5,27,72,2.805
MATA 20%,R6,17,26,2.609
MATA 20%,R7,24,31,3.059
MATA 20%,R8,23,33,2.925
MATA 20%,R9,17,28,2.562
MATA 20%,R10,13,34,2.114
MATA 70%,R1,21,30,2.939
MATA 70%,R2,21,29,2.899
MATA 70%,R3,24,42,2.962
MATA 70%,R4,24,38,2.985
MATA 70%,R5,30,54,3.061
MATA 70%,R6,19,46,2.482
MATA 70%,R7,25,33,3.103
MATA 70%,R8,33,51,3.258
MATA 70%,R9,23,40,2.837
MATA 70%,R10,15,21,2.529
MATA 50%,R1,19,29,2.785
MATA 50%,R2,25,41,2.855
MATA 50%,R3,14,24,2.29
MATA 50%,R4,19,36,2.583
MATA 50%,R5,20,22,2.941
MATA 50%,R6,14,22,2.39
MATA 50%,R7,21,52,2.353
MATA 50%,R8,17,34,2.286
MATA 50%,R9,20,36,2.489
MATA 40%,R1,33,47,3.349
MATA 40%,R2,35,62,3.178
MATA 40%,R3,26,49,3.127
MATA 40%,R4,31,57,3.168
MATA 40%,R5,29,49,3.118
MATA 40%,R6,18,31,2.506
MATA 40%,R7,22,39,2.645
MATA 40%,R8,29,44,3.144
MATA 40%,R9,23,29,3.033
MATA 40%,R10,25,39,3.062
MATA,R1,8,29,1.296
MATA,R2,10,163,0.4487
MATA,R3,18,140,0.8046
MATA,R4,10,23,1.529
MATA,R5,16,59,1.616
MATA,R6,18,96,1.926
MATA,R7,22,91,1.464
MATA,R8,14,152,0.8091
MATA,R9,13,55,1.323
MATA,R10,17,61,1.636
