ano,ufn,esp_vida,mort_inf,t_env,idh,renda_perc,p_pobres
1991,Rondônia,63.11,42.41,2.23,0.407,304.9,25.17
1991,Acre,63.72,41.85,3.11,0.402,284.96,28.43
1991,Amazonas,63.67,50.36,2.73,0.43,345.82,22.97
1991,Roraima,62.66,49.25,2.09,0.459,437.24,20.47
1991,Pará,63.42,52.55,3.21,0.413,273.22,26.43
1991,Amapá,65.05,43.72,2.59,0.472,378.57,15.11
1991,Tocantins,60.32,63.65,3.78,0.369,243.58,31.86
1991,Maranhão,58.04,81.97,4.2,0.357,156.47,45.57
1991,Piauí,60.71,64.73,4.55,0.362,167.03,47.84
1991,Ceará,61.76,63.13,5.36,0.405,219.83,39.76
1991,Rio Grande do Norte,60.48,67.93,5.92,0.428,240.33,33.08
1991,Paraíba,58.88,74.47,6.51,0.382,196.59,41.18
1991,Pernambuco,62.04,62.55,5.39,0.44,275.49,31.6
1991,Alagoas,58.1,74.5,4.41,0.37,211.98,36.62
1991,Sergipe,59.83,65.76,4.8,0.408,247.78,31.04
1991,Bahia,59.94,70.87,4.78,0.386,234.57,38.96
1991,Minas Gerais,66.36,35.39,4.97,0.478,373.85,17.84
1991,Espírito Santo,66.17,34.98,4.34,0.505,377.38,16.4
1991,Rio de Janeiro,66.42,29.94,5.95,0.573,608.8,7.24
1991,São Paulo,68.82,27.31,4.97,0.578,746.22,2.7
1991,Paraná,65.71,38.69,4.36,0.507,439.09,12.57
1991,Santa Catarina,70.16,24.84,4.36,0.543,449.78,9.26
1991,Rio Grande do Sul,68.76,22.53,5.84,0.542,507.61,9.89
1991,Mato Grosso do Sul,66.93,34.73,3.81,0.488,433.21,10.92
1991,Mato Grosso,64.24,33.64,2.68,0.449,395.34,13.72
1991,Goiás,65.1,29.53,3.65,0.487,410.55,10.86
1991,Distrito Federal,68.87,27.35,2.43,0.616,916,3.99
2000,Rondônia,66.27,30.38,3.3,0.537,467.16,12.6
2000,Acre,66.66,30.36,3.68,0.517,360.63,22.99
2000,Amazonas,66.51,37.95,3.26,0.515,351.63,27.13
2000,Roraima,67.99,29.03,2.6,0.598,462.18,16.53
2000,Pará,68.49,33.05,3.84,0.518,335.76,22.89
2000,Amapá,67.68,31.62,2.69,0.577,424.57,17.4
2000,Tocantins,66.28,36.48,4.53,0.525,344.41,22.28
2000,Maranhão,63.92,46.53,4.88,0.476,218.27,37.21
2000,Piauí,65.55,41.87,5.72,0.484,254.78,32.51
2000,Ceará,67.77,41.43,6.18,0.541,310.21,28.11
2000,Rio Grande do Norte,66.98,43.27,6.4,0.552,351.01,21.54
2000,Paraíba,65.34,43.3,7.21,0.506,299.09,25.17
2000,Pernambuco,67.32,47.31,6.14,0.544,367.31,22.3
2000,Alagoas,63.79,48.96,4.96,0.471,285.29,31.95
2000,Sergipe,65.66,42.97,5.13,0.518,326.67,24.52
2000,Bahia,65.8,41.81,5.74,0.512,322.04,25.68
2000,Minas Gerais,70.55,27.75,6.2,0.624,548.87,9.05
2000,Espírito Santo,71.64,23.45,5.53,0.64,574.17,7.04
2000,Rio de Janeiro,69.42,21.21,7.43,0.664,826.04,3.64
2000,São Paulo,72.16,19.35,6.11,0.702,882.4,2.42
2000,Paraná,69.83,20.3,5.5,0.65,638.27,6.08
2000,Santa Catarina,73.69,16.79,5.29,0.674,693.82,3.82
2000,Rio Grande do Sul,73.22,16.71,7.05,0.664,708.12,5.01
2000,Mato Grosso do Sul,70.09,25.53,5.02,0.613,576.33,7.1
2000,Mato Grosso,69.38,27.53,3.65,0.601,582.62,7.83
2000,Goiás,71.4,24.44,4.67,0.615,571.49,6.11
2000,Distrito Federal,73.86,20.71,3.29,0.725,1199.44,3.28
2010,Rondônia,72.97,18.02,4.69,0.69,670.82,6.39
2010,Acre,71.63,23.01,4.32,0.663,522.15,15.59
2010,Amazonas,73.3,17.01,4.03,0.674,539.8,16.43
2010,Roraima,73.51,16.11,3.45,0.707,605.59,15.66
2010,Pará,72.36,20.29,4.75,0.646,446.76,15.9
2010,Amapá,73.8,15.14,3.44,0.708,598.98,9.93
2010,Tocantins,72.56,19.56,5.82,0.699,586.62,10.21
2010,Maranhão,70.4,28.03,6.02,0.639,360.34,22.47
2010,Piauí,71.62,23.05,7.44,0.646,416.93,18.77
2010,Ceará,72.6,19.29,7.54,0.682,460.63,14.69
2010,Rio Grande do Norte,72.52,19.7,7.54,0.684,545.42,10.33
2010,Paraíba,72,21.67,8.53,0.658,474.94,13.39
2010,Pernambuco,72.32,20.43,7.37,0.673,525.64,12.32
2010,Alagoas,70.32,28.4,6.01,0.631,432.56,16.66
2010,Sergipe,71.84,22.22,6.14,0.665,523.53,11.7
2010,Bahia,71.97,21.73,7.23,0.66,496.73,13.79
2010,Minas Gerais,75.3,15.08,8.12,0.731,749.69,3.49
2010,Espírito Santo,75.1,14.15,7.08,0.74,815.43,2.67
2010,Rio de Janeiro,75.1,14.15,8.91,0.761,1039.3,1.98
2010,São Paulo,75.69,13.86,7.82,0.783,1084.46,1.16
2010,Paraná,74.8,13.08,7.53,0.749,890.89,1.96
2010,Santa Catarina,76.61,11.54,6.89,0.774,983.9,1.01
2010,Rio Grande do Sul,75.38,12.38,9.26,0.746,959.24,1.98
2010,Mato Grosso do Sul,74.96,18.14,6.62,0.729,799.34,3.55
2010,Mato Grosso,74.25,16.8,5.12,0.725,762.52,4.41
2010,Goiás,74.6,13.96,6.25,0.735,810.97,2.32
2010,Distrito Federal,77.35,14.01,4.97,0.824,1715.11,1.19
